Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
wdm,io.github.bonigarcia.wdm.online,GeckodriverSupport.GeckodriverRelease,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: geckodriverVersion; minFirefoxVersion; maxFirefoxVersion
wdm,io.github.bonigarcia.wdm.online,GoodVersions,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: timestamp; versions; version; revision; downloads; chrome; chromedriver; platform; url
wdm,io.github.bonigarcia.wdm.online,GoodVersions,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: timestamp; versions; version; revision; downloads; chrome; chromedriver; platform; url
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Versions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: version; revision; downloads
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Versions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Versions,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: version; revision; downloads
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Downloads,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: chrome; chromedriver
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Downloads,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Downloads,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: chrome; chromedriver
wdm,io.github.bonigarcia.wdm.online,GoodVersions.PlatformUrl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: platform; url
wdm,io.github.bonigarcia.wdm.online,GoodVersions.PlatformUrl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,GoodVersions.PlatformUrl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: platform; url
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: timestamp; channels; stable; beta; dev; canary; channel; version; revision; downloads
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: timestamp; channels; stable; beta; dev; canary; channel; version; revision; downloads
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions.Channels,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stable; beta; dev; canary
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions.Channels,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions.Channels,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: stable; beta; dev; canary
